Timestamp,Email.Address,Name.of.Reviewer,Name.of.Journal,When.was.the.earliest.the.journal.expected.code.to.be.provided.,Any.other.comments..1
10/17/2023 20:14:48,[redacted],[redacted],arctic science,Not mentioned anywhere except in Data Paper Instructions,
10/17/2023 20:25:00,[redacted],[redacted],journal of ecology,"They say it depends on the type of code - it is required upon acceptance when ""This policy applies to submissions that include scripts for novel analyses, new methodologies, and for simulations. We do not require authors to make code available when used for standard analyses, creating figures or anything that does not affect the reproducibility of the results.""",
10/17/2023 20:26:27,[redacted],[redacted],arctic science,"Only mentioned for ""data papers"", but still not mandated",
10/17/2023 20:29:06,[redacted],[redacted],arid ecosystems,Not explicitely mentioned (see statement below),SPRINGER data policy: https://www.springernature.com/de/authors/research-data-policy
10/17/2023 20:34:48,[redacted],[redacted],ecology,"For Ecology, data and code archiving remains optional with the exception of “Data Papers” (data required) and “Statistical Reports” (code required).",
10/17/2023 20:53:16,[redacted],[redacted],advances in ecological research,unclear if this is a journal,
10/18/2023 11:15:05,[redacted],[redacted],proceedings of the national academy of sciences: usa,A statment of data sharing plans is required for submission. All materials must be avaiable for editors and reviewers during peer review. All materials need to be stored in a community-approved public repositories prior to publication.,
10/19/2023 20:01:32,[redacted],[redacted],integrative organismal biology,"""Whenever possible""",Same statement includes data and code
10/19/2023 20:43:07,[redacted],[redacted],evolutionary ecology research,No information on code policy,
10/20/2023 3:11:47,[redacted],[redacted],folia oecologica,No information found,No information found
10/20/2023 3:38:07,[redacted],[redacted],freshwater science,No information found,No information found
10/21/2023 1:53:55,[redacted],[redacted],tropics,Not mentioned,"Please ignore my comment on duplicate pages, I didn't see they were for data AND code haha."
10/21/2023 2:25:02,[redacted],[redacted],vestnik tomskogo gosudarstvennogo universiteta-biologiya,Not mentioned,
10/21/2023 3:16:14,[redacted],[redacted],vie et milieu-life and environment,Not mentioned,
10/21/2023 4:38:43,[redacted],[redacted],wildlife research,Not mentioned,
10/21/2023 4:51:29,[redacted],[redacted],zoologica scripta,Not mentioned,
11/01/2023 20:56,[redacted],[redacted],advances in ecological research,Couldn't locate the journal/book series guide to authors after 10 minutes!,Couldn't locate the journal/book series guide to authors after 10 minutes!
11/01/2023 21:20,[redacted],[redacted],african journal of wildlife research,Link not showing how to submit paper in Google Chrome or Firefox,"Link not showing how to submit paper in Google Chrome or Firefox, so cannot assess?"
11/09/2023 21:34,[redacted],[redacted],australian journal of botany,not mentioned,
11/09/2023 21:54,[redacted],[redacted],australian systematic botany,not mentioned,
11/10/2023 0:27,[redacted],[redacted],avian conservation and ecology,not mentioned,
11/10/2023 0:48,[redacted],[redacted],basic and applied ecology,not mentioned,
11/28/2023 20:39:38,[redacted],[redacted],western north american naturalist,not mentioned,
1/09/2024 5:37,[redacted],[redacted],revista chilena de historia natural,seems inactive journal,
